dataset,channel,f_Hz,psd_mV2_Hz
修订前,Ut1,30.400000000000002,0.0006614730243761147
修订前,Ut1,30.5,0.0005810452189744195
修订前,Ut1,30.6,0.0015500550423748545
修订前,Ut1,30.700000000000003,0.0019891142853078934
修订前,Ut1,30.8,0.0007493806385302772
修订前,Ut1,30.900000000000002,0.0014922606850106613
修订前,Ut1,31.0,0.0022205738629458515
修订前,Ut1,31.1,0.0009054050567752492
修订前,Ut1,31.200000000000003,0.0011089093853940595
修订前,Ut1,31.3,0.0012536717154809389
修订前,Ut1,31.400000000000002,0.001059613970677318
修订前,Ut1,31.5,0.0012097550039131563
修订前,Ut1,31.6,0.0017378454196944405
修订前,Ut1,31.700000000000003,0.0012941286752214945
修订前,Ut1,31.8,0.001318490700893226
修订前,Ut1,31.900000000000002,0.0019401362775344417
修订前,Ut1,32.0,0.0027535856158194226
修订前,Ut1,32.1,0.0010216676256424408
修订前,Ut1,32.2,0.0007421558742291685
修订前,Ut1,32.300000000000004,0.0020576933917127987
修订前,Ut1,32.4,0.0035187269032543574
修订前,Ut1,32.5,0.002326582162231115
修订前,Ut1,32.6,0.0010347406628900139
修订前,Ut1,32.7,0.0006725148892941581
修订前,Ut1,32.800000000000004,0.0010197575793010002
修订前,Ut1,32.9,0.001663316349449409
修订前,Ut1,33.0,0.001355458206065665
修订前,Ut1,33.1,0.0020440228975543667
修订前,Ut1,33.2,0.16630657535188378
修订前,Ut1,33.300000000000004,1.9708022998297388
修订前,Ut1,33.4,1.2722010500752357
修订前,Ut1,33.5,0.023959747207241058
修订前,Ut1,33.6,0.0011769103122590604
修订前,Ut1,33.7,0.0012050272099550137
修订前,Ut1,33.800000000000004,0.0014056157119729771
修订前,Ut1,33.9,0.000960359690340495
修订前,Ut1,34.0,0.0007191311754916767
修订前,Ut1,34.1,0.0011425772080561906
修订前,Ut1,34.2,0.0026657415332440875
修订前,Ut1,34.300000000000004,0.003034524768568571
修订前,Ut1,34.4,0.0016099750748611648
修订前,Ut1,34.5,0.0005273433549191109
