dataset,channel,start_mcu_s,mean_mV,sd_raw_mV,slope_mV_min,rms_mV,rms_20,rms_40,rms_33,rms_05_5,peaks_Hz
修订后,Ut1,497.873,1433.6170449466667,0.20243353342537382,-0.5016426349390748,0.18782946418169416,0.05464575165162426,0.0504948490250601,0.016510803973398203,0.14827697566763,1.8;2.9;1.2;2.3;3.5;0.6;21.2;22.3
修订后,Ut2,497.873,1449.9083705233331,0.21996785541868363,-0.44765530529912334,0.21268613190718066,0.054839367332325716,0.056371528457611376,0.05710135097853584,0.15794499223995484,1.8;2.9;1.2;33.3;0.6;2.3;3.5;42.3
修订后,Ut1,527.873,1433.3442173866667,0.21084109164079695,-0.6268095411954909,0.19133147826465213,0.054792867797003056,0.05326253754301359,0.010735139596288249,0.1527027336238631,1.7;2.9;1.2;2.3;0.6;3.5;22.3;42.3
修订后,Ut2,527.873,1449.6996806366667,0.2117694232284305,-0.3081301743605007,0.20509583238108195,0.053530517615608106,0.05291554024522019,0.053846332703159645,0.15822566127273116,1.7;2.9;1.2;33.3;2.3;0.6;3.5;37.7
修订后,Ut1,557.873,1432.9357141766666,0.22937306319392256,-0.8655797716794587,0.19145051183703338,0.052833358962170826,0.051094188865213476,0.011439957445142713,0.15350150864048895,1.8;2.9;1.2;2.3;3.5;0.6;41.2;22.4
修订后,Ut2,557.873,1449.5875792433335,0.20682396733846548,-0.16010458511052994,0.20718410209706697,0.054184028304409756,0.05398179600275728,0.04935505853482057,0.1590820599284215,1.8;2.9;1.2;33.3;0.6;2.4;3.5;18.8
修订后,Ut1,587.873,1432.5645964566668,0.21324078023396684,-0.6481501468065928,0.1923029205470538,0.05586668764239788,0.051864888397547264,0.013710230668059157,0.15248299006780677,1.7;2.9;1.2;2.3;3.5;0.6;17.7;42.3
修订后,Ut2,587.873,1449.4924417699997,0.2158917621027084,-0.22251894551458412,0.21024336776506541,0.056308621819165,0.054591200371439184,0.03377451070370549,0.16225168486762884,1.7;2.9;1.2;2.3;0.6;3.5;42.3;17.7
修订后,Ut1,617.873,1432.2868609866669,0.20826613874418431,-0.5419584535782784,0.19188171957369018,0.05417708348856636,0.0518003828693429,0.013294590392201622,0.15289934074558856,1.7;2.9;1.1;2.3;0.6;3.4;37.7;22.3
修订后,Ut2,617.873,1449.3597668366667,0.20776280605909792,-0.17303675572476376,0.20735799476347896,0.057749108301473444,0.05389729724131635,0.030838528872669052,0.15747647970944847,1.7;2.9;1.1;2.3;0.6;3.5;22.3;42.3
修订后,Ut1,647.873,1432.0230105399999,0.2072675678437606,-0.48543162482196534,0.19488076729524534,0.05521765097023134,0.0538618199951785,0.026075727728553766,0.15389355218105305,1.7;2.8;1.1;2.3;3.4;0.6;37.7;17.7
修订后,Ut2,647.873,1449.26577357,0.2168941490167844,-0.17097365223997094,0.214171070991039,0.058730851518216984,0.057150754614542755,0.04651253250445185,0.160905576286739,1.7;2.8;1.1;2.3;33.3;0.6;3.4;17.7
修订后,Ut1,677.873,1431.7458853933333,0.20869680660023465,-0.5193794317644458,0.19398745574698387,0.05482287470171115,0.05089532053668818,0.023061102006513283,0.15341018671630371,1.7;2.8;1.1;2.3;3.4;0.6;22.3;37.7
修订后,Ut2,677.873,1449.1711433766664,0.22470437739389199,-0.16532945278106306,0.2220264112197892,0.05927817263387167,0.05687081194208462,0.06824064001596694,0.1630967326253759,1.7;2.8;1.1;33.3;2.3;3.4;0.6;18.9
修订后,Ut1,707.873,1431.4936577833332,0.2077688709100344,-0.4762636430416075,0.1962903787437875,0.05533948243443339,0.05283864308393094,0.019158722731375095,0.15686683989514616,1.7;2.9;1.1;2.3;0.6;3.4;22.3;42.3
修订后,Ut2,707.873,1449.0911361733333,0.2263954518719437,-0.1416307342183463,0.22388747432935774,0.05643564899308238,0.0596318041630188,0.07677536039430467,0.16014658086317293,1.7;33.3;1.1;2.9;2.3;0.6;3.4;42.3
修订后,Ut1,737.873,1431.26490232,0.2079379016477251,-0.47906656808660886,0.1952608630025799,0.053297224950512874,0.05383739714447274,0.01704739766906381,0.1567298307429751,1.6;2.7;1.1;2.2;3.3;0.5;22.2;37.8
修订后,Ut2,737.873,1448.99442059,0.23503904567896522,-0.3342688238215104,0.22873014452555676,0.06017120152171321,0.05724766226949377,0.07887822061890615,0.16273378057296028,1.6;33.3;2.7;1.1;2.2;0.5;3.3;42.2
