time_s,Ut1_raw,Ut1_median3,Ut1_raw_bp,Ut1_median3_bp,Ut2_raw,Ut2_median3,Ut2_raw_bp,Ut2_median3_bp
77.76,1997.07031,1997.07031,0.13090881428967327,0.18829918297016524,1622.39075,1622.39075,-0.025088921488804206,0.051265143612743924
77.77,1999.58801,1997.07031,0.11041255268315475,0.18231611055242847,1621.47522,1622.39075,0.016127725232677637,0.04296974944215498
77.78,1996.99402,1997.07031,0.09576641503797173,0.17753653723407053,1622.39075,1622.39075,0.049772268931619984,0.035944475190063774
77.79,1997.14661,1997.14661,0.08717685545914655,0.1740912924153289,1622.39075,1622.39075,0.07399343125506735,0.02997312678128644
77.8,1997.37549,1997.14661,0.0843672953997785,0.17197810429349014,1622.39075,1622.39075,0.0878275021790986,0.02471124886727777
77.81,1997.07031,1997.14661,0.08658064538251836,0.1710579440774726,1622.46704,1622.39075,0.09122926880419918,0.01971004872865978
77.82,1997.2229,1997.2229,0.09263237928688334,0.1710686538636258,1622.46704,1622.46704,0.08502048637920231,0.014457287706172328
77.83,1999.20654,1997.2229,0.10101785896116577,0.17165352914316195,1621.7041,1622.46704,0.0707597032875509,0.008430519164972006
77.84,1997.2229,1997.2229,0.1100637361147559,0.17240067210308124,1622.46704,1622.46704,0.05054693032693522,0.001155798841883049
77.85,1995.9259,1997.2229,0.11810355700000025,0.1728879680683894,1622.61963,1622.46704,0.026784586321297876,-0.007736107549106697
77.86,1999.58801,1997.2229,0.12365656317031792,0.17272841120597016,1621.47522,1622.46704,0.0019201177984604634,-0.01846367221293893
77.87,1997.14661,1997.14661,0.12559149410252357,0.1716109179975812,1622.46704,1622.46704,-0.021803590509424625,-0.031064777807427113
77.88,1997.37549,1997.37549,0.12325774452514418,0.16933226359852704,1622.39075,1622.39075,-0.042564832012970066,-0.04538675715287477
77.89,1999.35913,1997.37549,0.11656626655131819,0.16581610360215537,1621.09375,1622.39075,-0.05912421140322721,-0.06109710402801405
77.9,1996.0022,1997.37549,0.10600757278952758,0.16111555236881003,1622.54333,1622.39075,-0.07091296121337448,-0.07771285511978221
77.91,1997.2229,1997.2229,0.09260401042412769,0.15539737635922157,1622.31445,1622.31445,-0.07803894424825503,-0.09464435369394417
77.92,1999.7406,1997.2229,0.07780298875498426,0.1489090346216143,1621.47522,1622.31445,-0.08121103508421992,-0.11124766462036526
77.93,1997.14661,1997.2229,0.063322619593286,0.14193371639935318,1622.31445,1622.31445,-0.08159344160784954,-0.12687941572825456
77.94,1997.2229,1997.2229,0.050962828616565925,0.13474143482570036,1622.46704,1622.31445,-0.08061064369504922,-0.14094827025941803
77.95,1997.37549,1997.2229,0.042399693603602906,0.1275449458167807,1622.31445,1622.31445,-0.07973013561571596,-0.15295845497441085
77.96,1997.14661,1997.2229,0.0389888458673443,0.1204678716066489,1622.31445,1622.31445,-0.08025349349514732,-0.16254242719021822
77.97,1997.29919,1997.29919,0.0416063847652931,0.11352974376121214,1622.31445,1622.31445,-0.08314443345846206,-0.1694814087588053
77.98,1999.43542,1997.29919,0.050547027731382005,0.10664954944255386,1621.93298,1622.31445,-0.0889148165839447,-0.17371383915917737
77.99,1997.2229,1997.29919,0.0654842531839884,0.09966642668569681,1622.31445,1622.31445,-0.0975787153769824,-0.1753327113082829
78.0,1996.0022,1997.2229,0.08548625584396669,0.09237398132783783,1622.54333,1622.31445,-0.1086743003435991,-0.17457328398061983
78.01,1999.7406,1997.2229,0.10907949288244248,0.08456352131393702,1621.47522,1622.31445,-0.12134506614703344,-0.1717928946269972
78.02,1997.2229,1997.2229,0.134353289651287,0.07607096057469112,1622.31445,1622.31445,-0.13446543040258768,-0.1674446293434438
78.03,1997.37549,1997.37549,0.15909744127379216,0.06682158148753206,1622.31445,1622.31445,-0.14679084268753403,-0.16204655422948439
78.04,1999.58801,1997.37549,0.18096153886786553,0.05686606675580891,1621.01746,1622.31445,-0.1571103895272245,-0.15614817950458973
78.05,1995.9259,1997.37549,0.19762534830044282,0.0464009213499465,1622.54333,1622.31445,-0.16438141105329263,-0.15029590035633386
78.06,1997.2229,1997.2229,0.2069738235224703,0.03576772501626621,1622.39075,1622.39075,-0.16783072479754446,-0.14499937981897448
78.07,1999.58801,1997.2229,0.20727298303404024,0.025428995337165222,1621.39893,1622.39075,-0.1670147734885448,-0.14070113927210046
78.08,1997.2229,1997.2229,0.19733927108035562,0.015922840878741185,1622.46704,1622.39075,-0.16183898007154682,-0.137751732409278
78.09,1997.2229,1997.2229,0.1766866711902967,0.007802355470406586,1622.31445,1622.31445,-0.15254216290071987,-0.1363924281628852
78.1,1999.43542,1997.2229,0.14563035561690263,0.001567743573971242,1621.85669,1622.31445,-0.1396548220486057,-0.1367462220916598
78.11,1997.07031,1997.2229,0.10532752695967043,-0.0024004730809021324,1622.39075,1622.31445,-0.1239413337710193,-0.13881669565242286
78.12,1997.2229,1997.2229,0.05774282545196735,-0.003899474691445859,1622.39075,1622.39075,-0.10633537588708498,-0.14249347943946758
78.13,1999.20654,1997.2229,0.005534263570272535,-0.002946848742078706,1621.7041,1622.39075,-0.08787524075939027,-0.14756317028351099
78.14,1997.2229,1997.2229,-0.04813512106229301,0.00019709926737232486,1622.31445,1622.31445,-0.06964211248062445,-0.1537250729972903
78.15,1995.84961,1997.2229,-0.09984600849445693,0.005030777411136278,1622.54333,1622.31445,-0.05270117410394718,-0.16061134163635105
78.16,1999.7406,1997.2229,-0.1462105068431488,0.010837830240643803,1621.39893,1622.31445,-0.03804366487457625,-0.167810705985941
78.17,1997.2229,1997.2229,-0.1841726778217833,0.01673786111550815,1622.31445,1622.31445,-0.02652802473989116,-0.17489439571130777
78.18,1997.29919,1997.29919,-0.2112950735675288,0.021758041913925635,1622.31445,1622.31445,-0.01881989637022339,-0.1814426316009281
78.19,1997.2229,1997.2229,-0.22600405801253487,0.024919861741030086,1622.31445,1622.31445,-0.015334347020790555,-0.18707019697805946
78.2,1995.9259,1997.2229,-0.2277633743739164,0.025333103517020922,1622.54333,1622.31445,-0.0161883861289001,-0.19144983167850987
78.21,1997.52808,1997.2229,-0.2171453617044261,0.022287499377477815,1622.23816,1622.31445,-0.021174436120908142,-0.19433224432626658
78.22,1998.5199,1997.52808,-0.1957812682806735,0.015331436937900844,1621.93298,1622.23816,-0.0297632602429517,-0.1955613547520584
78.23,1997.2229,1997.52808,-0.16619542265225706,0.004326746977467016,1622.23816,1622.23816,-0.04113900556241459,-0.19508308706552002
78.24,1997.14661,1997.2229,-0.13155129771731203,-0.010530025689870715,1622.39075,1622.23816,-0.05426301385469222,-0.1929459695664295
78.25,1999.35913,1997.2229,-0.09534980047640457,-0.028725104215490488,1621.7804,1622.23816,-0.06795959967549556,-0.18929239376272491
78.26,1996.76514,1997.14661,-0.06112001184824582,-0.04948185152342319,1622.39075,1622.39075,-0.08101605050051397,-0.1843408277084225
78.27,1996.99402,1996.99402,-0.032134943346667194,-0.0718428277477435,1622.31445,1622.31445,-0.09228910045778634,-0.1783611927158535
78.28,1999.20654,1996.99402,-0.011173788826442418,-0.09476565763022399,1621.7041,1622.31445,-0.10081013788586063,-0.17164714533816772
78.29,1997.14661,1997.14661,-0.0003411913035009373,-0.11721814720367033,1622.31445,1622.31445,-0.10588126743953925,-0.16448939051714687
78.3,1995.84961,1997.14661,-0.0009460428487276101,-0.13826093997875602,1622.61963,1622.31445,-0.1071541938312378,-0.15715332229931653
